docID	classifier	classification
0	NaiveBayes	correct
1	NaiveBayes	correct
2	NaiveBayes	correct
3	NaiveBayes	correct
4	NaiveBayes	correct
5	NaiveBayes	correct
6	NaiveBayes	correct
7	NaiveBayes	correct
8	NaiveBayes	correct
9	NaiveBayes	correct
10	NaiveBayes	correct
11	NaiveBayes	incorrect
12	NaiveBayes	correct
13	NaiveBayes	correct
14	NaiveBayes	correct
15	NaiveBayes	correct
16	NaiveBayes	correct
17	NaiveBayes	incorrect
18	NaiveBayes	correct
19	NaiveBayes	incorrect
20	NaiveBayes	correct
21	NaiveBayes	correct
22	NaiveBayes	correct
23	NaiveBayes	correct
24	NaiveBayes	correct
25	NaiveBayes	correct
26	NaiveBayes	correct
27	NaiveBayes	correct
28	NaiveBayes	correct
29	NaiveBayes	correct
30	NaiveBayes	correct
31	NaiveBayes	correct
32	NaiveBayes	correct
33	NaiveBayes	correct
34	NaiveBayes	correct
35	NaiveBayes	correct
36	NaiveBayes	correct
37	NaiveBayes	correct
38	NaiveBayes	correct
39	NaiveBayes	correct
40	NaiveBayes	correct
41	NaiveBayes	correct
42	NaiveBayes	correct
43	NaiveBayes	correct
44	NaiveBayes	correct
45	NaiveBayes	incorrect
46	NaiveBayes	correct
47	NaiveBayes	correct
48	NaiveBayes	correct
49	NaiveBayes	correct
50	NaiveBayes	correct
51	NaiveBayes	correct
52	NaiveBayes	correct
53	NaiveBayes	incorrect
54	NaiveBayes	correct
55	NaiveBayes	correct
56	NaiveBayes	correct
57	NaiveBayes	correct
58	NaiveBayes	incorrect
59	NaiveBayes	correct
60	NaiveBayes	correct
61	NaiveBayes	incorrect
62	NaiveBayes	correct
63	NaiveBayes	correct
64	NaiveBayes	correct
65	NaiveBayes	incorrect
66	NaiveBayes	incorrect
67	NaiveBayes	correct
68	NaiveBayes	correct
69	NaiveBayes	correct
70	NaiveBayes	correct
71	NaiveBayes	correct
72	NaiveBayes	incorrect
73	NaiveBayes	correct
74	NaiveBayes	correct
75	NaiveBayes	correct
76	NaiveBayes	correct
77	NaiveBayes	correct
78	NaiveBayes	correct
79	NaiveBayes	correct
80	NaiveBayes	correct
81	NaiveBayes	correct
82	NaiveBayes	correct
83	NaiveBayes	correct
84	NaiveBayes	correct
85	NaiveBayes	correct
86	NaiveBayes	incorrect
87	NaiveBayes	correct
88	NaiveBayes	correct
89	NaiveBayes	correct
90	NaiveBayes	correct
91	NaiveBayes	correct
92	NaiveBayes	correct
93	NaiveBayes	correct
94	NaiveBayes	correct
95	NaiveBayes	incorrect
96	NaiveBayes	correct
97	NaiveBayes	correct
98	NaiveBayes	correct
99	NaiveBayes	correct
100	NaiveBayes	correct
101	NaiveBayes	correct
102	NaiveBayes	incorrect
103	NaiveBayes	correct
104	NaiveBayes	correct
105	NaiveBayes	correct
106	NaiveBayes	correct
107	NaiveBayes	correct
108	NaiveBayes	correct
109	NaiveBayes	correct
110	NaiveBayes	correct
111	NaiveBayes	correct
112	NaiveBayes	correct
113	NaiveBayes	correct
114	NaiveBayes	incorrect
115	NaiveBayes	correct
116	NaiveBayes	correct
117	NaiveBayes	correct
118	NaiveBayes	correct
119	NaiveBayes	correct
